text,Rating,Timestamp
love,5,2024-11-16 13:09:37
md savor,5,2024-11-16 13:08:05
dear tiktok team big problem account free ply dear tiktok team freeze tiktok account vital hideous dream be like tiktok 🆔umarfaroq00001,2,2024-11-16 13:07:19
"two years, base, build up",1,2024-11-16 13:05:08
activity modification tabes wont load endless load animation loop,2,2024-11-16 13:04:47
nice,4,2024-11-16 13:03:51
account please 🙏🥺,5,2024-11-16 12:58:01
st time makarka excite wait mallet masabi long melon per sa tiktok salamat,5,2024-11-16 12:57:33
like,5,2024-11-16 12:57:14
vol lace forget te jaw na🥲🥺,5,2024-11-16 12:56:58
tiktok please freeze account vital video account freeze please freeze account,1,2024-11-16 12:56:45
think she,5,2024-11-16 12:56:08
please kaska king account please 🙏🙏,5,2024-11-16 12:55:57
banana ghishi,5,2024-11-16 12:55:56
nice app,5,2024-11-16 12:55:17
best app want relieve stress tiktok love,5,2024-11-16 12:53:44
please dear tiktok team far view nasi aye pp😭😭😭😭😭😭😭😭😭,5,2024-11-16 12:52:03
good,5,2024-11-16 12:51:34
lot bag quite torn,2,2024-11-16 12:51:23
a little later,5,2024-11-16 12:51:12
good app,5,2024-11-16 12:49:12
good,4,2024-11-16 12:49:06
tiktok team reduce follower thousand also close view gun didn wrong would million follower today fix problem,1,2024-11-16 12:48:29
amaze,5,2024-11-16 12:46:58
follow follow,1,2024-11-16 12:45:55
device connect wife tiktok id open,1,2024-11-16 12:45:37
hello dear tiktok team ply help tiktok account freeze ply dont interview account plzzzz help 🙏 account usernameshakiilmuzafar,5,2024-11-16 12:44:23
keep rolling,5,2024-11-16 12:43:37
slow,2,2024-11-16 12:41:16
knowledgeable app,1,2024-11-16 12:40:03
best entertaining now proud tictalk,5,2024-11-16 12:39:53
great app simple fact all restrict video sexualnudity purpose video firefighter train everyone clothe nothing sexual that pretty upsetting bad moderation end reason whatsoever request appeal doesn look like favor,1,2024-11-16 12:39:19
fun,5,2024-11-16 12:38:44
plzzzz help me,5,2024-11-16 12:37:59
varix video,1,2024-11-16 12:37:33
cringe,1,2024-11-16 12:36:22
dear tiktok team plan plan unnband karay king id,5,2024-11-16 12:35:38
