Rating,Review,Timestamp
5,Love it,2024-11-16 13:09:37
5,Md Sagor,2024-11-16 13:08:05
2,"Dear, TikTok team my big problem my account is freez plz dear TikTok team unfreeze my TikTok account and viral my All videoes my dream 1M likes my TikTok 🆔@umarfaroq00001",2024-11-16 13:07:19
1,عامين باش يتعمر,2024-11-16 13:05:08
2,"My activity and notifications tabs won't load, just an endless loading animation loop.",2024-11-16 13:04:47
4,Nice,2024-11-16 13:03:51
1,Tiktok valo mare live ni one,2024-11-16 13:03:18
5,My account for you please 🙏🥺,2024-11-16 12:58:01
5,"As a 1st timer, nakaka excite kahit maliit masabi mong meron pera sa Tiktok. salamat",2024-11-16 12:57:33
5,I like it,2024-11-16 12:57:14
5,Vlo lagce but foryou te jai na🥲🥺,2024-11-16 12:56:58
1,Tiktok please unfreeze my account and viral My videos My account is very freeze please unfreeze my account,2024-11-16 12:56:45
5,I think she***t,2024-11-16 12:56:08
5,Please karka king account please 🙏🙏,2024-11-16 12:55:57
5,ranjana ghishi,2024-11-16 12:55:56
5,Nice app,2024-11-16 12:55:17
3,Not bad 😅,2024-11-16 12:54:50
2,Uteieg,2024-11-16 12:54:42
5,Best app if you want to relieve stress TikTok I love you,2024-11-16 12:53:44
2,Hello TikTok.Liek.50,2024-11-16 12:53:25
5,Please dear tiktok team my far views nahi aya p5😭😭😭😭😭😭😭😭😭,2024-11-16 12:52:03
5,So Good,2024-11-16 12:51:34
2,It has a lot of bugs it is quite the torn off,2024-11-16 12:51:23
5,একটু পরে,2024-11-16 12:51:12
5,hiraawan,2024-11-16 12:50:25
5,Good app.,2024-11-16 12:49:12
4,Good,2024-11-16 12:49:06
1,"TikTok team reduced my followers by thousands and also closed my views. If you guys didn't do this wrong, I would have millions of followers today, so fix my problem.",2024-11-16 12:48:29
5,It's amazing,2024-11-16 12:46:58
1,My follow My follow,2024-11-16 12:45:55
1,my device connected wifi my tiktok id no open,2024-11-16 12:45:37
5,hello dear TikTok team plz help me my TikTok account unfreeze plz don't underview my account plzzzz help me 🙏 my account username__shakiil_muzafar,2024-11-16 12:44:23
5,Keep rolling,2024-11-16 12:43:37
2,Its very slow,2024-11-16 12:41:16
1,It is very knowledgeable app,2024-11-16 12:40:03
5,Best and entertaining wow am proud to be on tictalk,2024-11-16 12:39:53
1,"it's a great app BUT the simple fact y'all restrict a video for ""sexual/nudity"" purposes when it's a video of firefighters training and everyone is clothed and there is nothing sexual in it, that's pretty upsetting to me and bad moderation on your end to do that to me for no reason whatsoever and I requested a appeal but it doesnt look like it's doing any favors in this.",2024-11-16 12:39:19
5,It's fun,2024-11-16 12:38:44
5,Plzzzz help mee,2024-11-16 12:37:59
1,Vearil video,2024-11-16 12:37:33
1,Cringe,2024-11-16 12:36:22
4,Joymaina,2024-11-16 12:36:11
5,I love ❤️ ❤️ this app,2024-11-16 12:36:08
5,MY DEAR TIKTOK TEAM PLZZ PLZZ UNNBAND KARAK KING ID,2024-11-16 12:35:38
5,Please TikTok unfriez my tik tok id Fayaz-khaskheli❤️,2024-11-16 12:33:32
5,Pl zzzzzzz live me plzzzz TikTok,2024-11-16 12:33:06
4,Good,2024-11-16 12:32:51
5,Next level,2024-11-16 12:30:55
5,Please tiktok karakking accoun unbande please,2024-11-16 12:27:32
5,Very good,2024-11-16 12:27:10
1,It's a good app,2024-11-16 12:26:01
5,.m.. Mom.........,2024-11-16 12:25:33
5,Nice social app Enjoying,2024-11-16 12:22:35
2,latest version is unusable (15/11/2024),2024-11-16 12:21:35
1,"Still not getting notifications as i don't get any from this app of the people i follow. No matter how many updates it has,still doesn't fix it.This only happens with this app,as i get notifications with other apps. Also when i click on who i'm following to see what they posted, it's not in order it's all scrambled.Also why am i getting video clip's of ppl I don't follow in the ppl i'm following section? titkok fix your app asap please thanks .",2024-11-16 12:19:43
2,The app kept glitching so I uninstalled and reinstalled it but now I can no longer 2x the speed. I need that option because it is the only way I can listen to the videos,2024-11-16 12:18:58
5,Plesa tiktok open,2024-11-16 12:17:44
5,Live on permanent license without uk sim give me,2024-11-16 12:17:22
5,My account 100k followres plzzz,2024-11-16 12:16:11
5,It fast,2024-11-16 12:13:06
1,Hlo tiktok team my account unban plz plz name ayaan.ayaan549,2024-11-16 12:12:31
5,বাল,2024-11-16 12:10:20
4,Nice,2024-11-16 12:09:10
1,"Cannot perform tiktok videos from android device ... please update, especially for samsung devices ... optionalyy for zflip 3",2024-11-16 12:08:41
5,I love it!!!❤️❤️❤️,2024-11-16 12:06:16
5,Viral Please,2024-11-16 12:03:49
5,Good,2024-11-16 12:02:22
5,Very good.,2024-11-16 11:59:07
5,Very nice app ☺️👍,2024-11-16 11:59:05
5,Level,2024-11-16 11:54:11
4,The only issue is that it keeps buffing and I have to scroll down and wach again over all a really good app,2024-11-16 11:53:41
1,the app is broking the world😭,2024-11-16 11:52:33
5,I have no life anymore,2024-11-16 11:51:02
3,Ben tik tok,2024-11-16 11:50:07
5,My new account viral plz,2024-11-16 11:49:31
5,Nice,2024-11-16 11:47:44
5,Asjd ali,2024-11-16 11:47:31
4,Good App,2024-11-16 11:46:32
5,It's so interesting,2024-11-16 11:46:10
1,i have problem can't see who saw my profile views i did report my issues but u haven't replied to me,2024-11-16 11:45:45
5,😍😍😍😍😍😍,2024-11-16 11:44:49
5,tiktok this so cool I can make videos,2024-11-16 11:44:10
1,HAHA! YOUR GETTING BANNED,2024-11-16 11:43:55
5,Good app,2024-11-16 11:43:54
1,"Messaging, following and views are becoming useless, please focus there, it is not only for content",2024-11-16 11:38:31
1,Why is tiktok censoring speech on a public platform?,2024-11-16 11:38:24
4,Fatma,2024-11-16 11:36:51
5,ge,2024-11-16 11:36:47
3,Gmas,2024-11-16 11:36:10
5,this is the best app ever I have seen.,2024-11-16 11:32:19
5,adeelabbas,2024-11-16 11:31:37
5,Ok,2024-11-16 11:30:00
2,عرفررر,2024-11-16 11:29:53
5,Haven't been on here much. I did buy an ice maker on here.,2024-11-16 11:29:34
5,keep clean,2024-11-16 11:25:33
5,I m big fan tiktok,2024-11-16 11:25:26
2,🖤,2024-11-16 11:25:02
2,Good,2024-11-16 11:23:13
5,Plz my fon tiktok sapod,2024-11-16 11:22:22
4,"There are many excellent short stories, things to learn about human nature, cars and philosophies. Very educational as long as it remains in good taste.",2024-11-16 11:20:38
4,Good,2024-11-16 11:19:58
5,I have 3000 follower but live option not showing please help me how to live on TikTok 🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻,2024-11-16 11:19:35
5,Plzzzzz foryuo,2024-11-16 11:14:41
3,Abdullah Zahid,2024-11-16 11:11:36
5,Ok,2024-11-16 11:11:15
4,Nicely,2024-11-16 11:11:02
1,I appel the tik tok studio 🎙️ (Plz open the live bitten in Pakistan),2024-11-16 11:10:34
5,For you TikTok video,2024-11-16 11:09:38
5,Good app Leif time gare tee,2024-11-16 11:09:38
4,Yaqoobaliy,2024-11-16 11:08:19
4,Eh keeps me up at night but what ever,2024-11-16 11:08:02
5,TikTok apps is very funny and nice apps.,2024-11-16 11:07:50
5,😁😁😁😁😁😁😆😆😆😆😆,2024-11-16 11:07:39
3,Dear Tik Tok team please viral my account m work regular basis @Machienfacts,2024-11-16 11:04:55
5,Luyanda Nene,2024-11-16 11:04:42
5,নাইস,2024-11-16 11:00:53
5,10000000000000000000000 present good,2024-11-16 11:00:31
5,Please TikTok for you my idee please in my all video for you 😘,2024-11-16 11:00:07
1,Please 🥺🙏 karak king account unbanned birthday 🎂🥳,2024-11-16 10:58:54
4,Excellent,2024-11-16 10:58:26
1,"Description TikTok Foryou setting and Foryou Trick | TikTok all settings | TikTok Foryou setting 2023 new ￼ Saddam Buriro 20KLikes 526,183Views 2023Apr 11 #TiktokSettings #tiktokforyoutrick #viral #TiktokSettings #tiktokforyoutrick #viral Tiktok foryou setting Tiktok foryou setting and foryou trick how to viral video on Tiktok Tiktok foryou trick Tiktok foryou setting new Tiktok appeal👇 Hello dear tiktok team Very very important Please I need your help because your account has mistake",2024-11-16 10:58:03
1,"dear tiktok i like you too much, please viral my videos and my account please give me followers and likes viral my account please this is my account, its_pathan212",2024-11-16 10:57:46
1,Tik Tok install kyun nahi hoti,2024-11-16 10:57:14
4,Nice,2024-11-16 10:56:27
5,Need more features,2024-11-16 10:55:29
1,Ishwor,2024-11-16 10:54:39
5,TikTok is very good it's not borening TikTok is very viral on WOULD,2024-11-16 10:54:03
5,good,2024-11-16 10:53:23
5,Noor Nahar Sarker💝,2024-11-16 10:53:19
5,Please mujhe viral kar do please meri ek video viral kar do,2024-11-16 10:53:14
5,I love tiktok this my favourite app and I love this app,2024-11-16 10:48:18
5,I. Laik TikTok,2024-11-16 10:46:46
4,Good app,2024-11-16 10:46:32
5,Mara account freez hogya please unfreeze karo mara account 👉 lewani___jeni_2👈 Please ya account unfreeze karo,2024-11-16 10:46:14
1,"I like the content, but the app is continuously glitching, freezing and irritating my life. I can't stay on the app for 3-5 scrolls or it seizes up and crashes. Please fix it. It glitched in the middle of my shopping too, that really scares me. Do better.",2024-11-16 10:46:04
1,I havent even got the app yet to tell you,2024-11-16 10:45:12
5,محمداعظم,2024-11-16 10:44:42
5,Biutifull app,2024-11-16 10:44:34
2,The app is always giving me problems,2024-11-16 10:40:22
5,I love this app,2024-11-16 10:40:07
5,Favourite,2024-11-16 10:39:53
5,Vert.bed tiktok not.supported tiktok team,2024-11-16 10:39:51
5,Nice,2024-11-16 10:39:46
5,Update hoy na khano,2024-11-16 10:37:48
2,"Hello TikTok Team, My Withdrawal date is nov 15 and why my date is changed Please set this as soon as possible..! Username:- (zarakhan0.1)",2024-11-16 10:37:15
5,Please 🙏 my account unfreeze,2024-11-16 10:36:57
5,চামচ,2024-11-16 10:36:27
1,Plzz TikTok team my saadbro002 account anfreez plzz TikTok team my account for you viral plzz plzz,2024-11-16 10:35:29
5,Mumbarak Mallah,2024-11-16 10:35:03
5,For you,2024-11-16 10:34:07
2,Hello Tik Tok Team I have been working hard on Tik Tok for quite some time and have been posting very good videos. Please check my account and unfreeze thanks Tiktok Username (aligujar552),2024-11-16 10:30:21
5,PIeas dear tik Tok teamUnbanned my friend tik Tok account pIeas😢😢😢🥺🥺🥺 den Jan brohi PIeasa Iove you😘Miss you karak ki,2024-11-16 10:29:25
5,No thanks 😊,2024-11-16 10:28:24
5,Nice app,2024-11-16 10:28:20
4,Tiktok was great. It woke me up to information greatly. The name got me. It might need something . For more.,2024-11-16 10:26:10
5,I love TikTok,2024-11-16 10:24:33
5,টিকটক,2024-11-16 10:24:02
5,very nice app,2024-11-16 10:21:23
1,Last update make that app not responding,2024-11-16 10:19:56
1,Capri app 😑,2024-11-16 10:18:28
5,Very good ☺️,2024-11-16 10:17:40
5,the tiktok anke,2024-11-16 10:17:33
5,Please only whach video and earn mony,2024-11-16 10:15:19
5,Not yet working update,2024-11-16 10:11:16
5,Nice,2024-11-16 10:09:56
4,هلشاشطن,2024-11-16 10:09:26
5,Plz complete 100k like this account ali_yt302 plz complete 50k followers plz TikTok team plz,2024-11-16 10:09:23
